id,liquid_path,container_path,volume_ml
Cell_Flask_160mL_132ml_1105_1054,Cell_Flask_160mL_132ml_1105_1054/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1054/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1056,Cell_Flask_160mL_132ml_1105_1056/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1056/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1057,Cell_Flask_160mL_132ml_1105_1057/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1057/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1058,Cell_Flask_160mL_132ml_1105_1058/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1058/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1059,Cell_Flask_160mL_132ml_1105_1059/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1059/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1100,Cell_Flask_160mL_132ml_1105_1100/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1100/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1102,Cell_Flask_160mL_132ml_1105_1102/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1102/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1103,Cell_Flask_160mL_132ml_1105_1103/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1103/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1104,Cell_Flask_160mL_132ml_1105_1104/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1104/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1105,Cell_Flask_160mL_132ml_1105_1105/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1105/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1106,Cell_Flask_160mL_132ml_1105_1106/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1106/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1107,Cell_Flask_160mL_132ml_1105_1107/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1107/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1109,Cell_Flask_160mL_132ml_1105_1109/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1109/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1110,Cell_Flask_160mL_132ml_1105_1110/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1110/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1111,Cell_Flask_160mL_132ml_1105_1111/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1111/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1112,Cell_Flask_160mL_132ml_1105_1112/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1112/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1113,Cell_Flask_160mL_132ml_1105_1113/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1113/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1114,Cell_Flask_160mL_132ml_1105_1114/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1114/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_132ml_1105_1115,Cell_Flask_160mL_132ml_1105_1115/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_132ml_1105_1115/Input_EmptyVessel_Depth_segmented.npy,132.0
Cell_Flask_160mL_141ml_0905_1754,Cell_Flask_160mL_141ml_0905_1754/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1754/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1756,Cell_Flask_160mL_141ml_0905_1756/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1756/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1758,Cell_Flask_160mL_141ml_0905_1758/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1758/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1800,Cell_Flask_160mL_141ml_0905_1800/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1800/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1801,Cell_Flask_160mL_141ml_0905_1801/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1801/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1804,Cell_Flask_160mL_141ml_0905_1804/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1804/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1805,Cell_Flask_160mL_141ml_0905_1805/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1805/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1809,Cell_Flask_160mL_141ml_0905_1809/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1809/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1811,Cell_Flask_160mL_141ml_0905_1811/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1811/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1813,Cell_Flask_160mL_141ml_0905_1813/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1813/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1815,Cell_Flask_160mL_141ml_0905_1815/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1815/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1817,Cell_Flask_160mL_141ml_0905_1817/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1817/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1818,Cell_Flask_160mL_141ml_0905_1818/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1818/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1820,Cell_Flask_160mL_141ml_0905_1820/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1820/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1822,Cell_Flask_160mL_141ml_0905_1822/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1822/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1824,Cell_Flask_160mL_141ml_0905_1824/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1824/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1826,Cell_Flask_160mL_141ml_0905_1826/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1826/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1828,Cell_Flask_160mL_141ml_0905_1828/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1828/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1829,Cell_Flask_160mL_141ml_0905_1829/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1829/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1831,Cell_Flask_160mL_141ml_0905_1831/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1831/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_141ml_0905_1833,Cell_Flask_160mL_141ml_0905_1833/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_141ml_0905_1833/Input_EmptyVessel_Depth_segmented.npy,141.0
Cell_Flask_160mL_151ml_2404_5612,Cell_Flask_160mL_151ml_2404_5612/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5612/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5614,Cell_Flask_160mL_151ml_2404_5614/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5614/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5616,Cell_Flask_160mL_151ml_2404_5616/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5616/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5619,Cell_Flask_160mL_151ml_2404_5619/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5619/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5623,Cell_Flask_160mL_151ml_2404_5623/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5623/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5628,Cell_Flask_160mL_151ml_2404_5628/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5628/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5630,Cell_Flask_160mL_151ml_2404_5630/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5630/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5631,Cell_Flask_160mL_151ml_2404_5631/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5631/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5632,Cell_Flask_160mL_151ml_2404_5632/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5632/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5634,Cell_Flask_160mL_151ml_2404_5634/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5634/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_151ml_2404_5639,Cell_Flask_160mL_151ml_2404_5639/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_151ml_2404_5639/Input_EmptyVessel_Depth_segmented.npy,151.0
Cell_Flask_160mL_160ml_1105_1132,Cell_Flask_160mL_160ml_1105_1132/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1132/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1133,Cell_Flask_160mL_160ml_1105_1133/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1133/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1134,Cell_Flask_160mL_160ml_1105_1134/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1134/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1136,Cell_Flask_160mL_160ml_1105_1136/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1136/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1138,Cell_Flask_160mL_160ml_1105_1138/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1138/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1140,Cell_Flask_160mL_160ml_1105_1140/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1140/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1141,Cell_Flask_160mL_160ml_1105_1141/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1141/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1142,Cell_Flask_160mL_160ml_1105_1142/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1142/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1144,Cell_Flask_160mL_160ml_1105_1144/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1144/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1145,Cell_Flask_160mL_160ml_1105_1145/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1145/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1146,Cell_Flask_160mL_160ml_1105_1146/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1146/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1147,Cell_Flask_160mL_160ml_1105_1147/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1147/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1148,Cell_Flask_160mL_160ml_1105_1148/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1148/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1149,Cell_Flask_160mL_160ml_1105_1149/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1149/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1151,Cell_Flask_160mL_160ml_1105_1151/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1151/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1152,Cell_Flask_160mL_160ml_1105_1152/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1152/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1153,Cell_Flask_160mL_160ml_1105_1153/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1153/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1154,Cell_Flask_160mL_160ml_1105_1154/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1154/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1155,Cell_Flask_160mL_160ml_1105_1155/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1155/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1156,Cell_Flask_160mL_160ml_1105_1156/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1156/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1159,Cell_Flask_160mL_160ml_1105_1159/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1159/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1200,Cell_Flask_160mL_160ml_1105_1200/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1200/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1201,Cell_Flask_160mL_160ml_1105_1201/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1201/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1202,Cell_Flask_160mL_160ml_1105_1202/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1202/Input_EmptyVessel_Depth_segmented.npy,160.0
Cell_Flask_160mL_160ml_1105_1204,Cell_Flask_160mL_160ml_1105_1204/Input_ContentDepth_segmented.npy,Cell_Flask_160mL_160ml_1105_1204/Input_EmptyVessel_Depth_segmented.npy,160.0
